Date,Unrate,interbank_rates,cpi,mortgage_interest_rate,HouseIndex_victoria,HouseIndex_vancouver,HouseIndex_montreal,personal_savings_rate
10-97,8.9,3.799545455,72.70300927,6.73,60.29,70.29,56.16,6.2
11-97,8.9,3.994736842,72.70300927,6.69,60.36,69.88,56.6,6.4
12-97,8.5,4.567142857,72.62293988,6.9,60.32,69.58,56.59,6.4
01-98,8.8,4.651904762,73.50370321,6.9,60.96,69.27,56.75,7.4
02-98,8.6,4.9775,73.50370321,6.84,60.75,69.36,56.65,7.4
03-98,8.4,4.874090909,73.42363382,6.84,61.05,69.25,56.9,7.5
04-98,8.3,4.898095238,73.50370321,6.79,60.42,69.1,57.27,7.2
05-98,8.3,5.02,73.82398078,6.92,60.62,68.94,57.7,6.9
06-98,8.4,5.016818182,73.90405018,6.9,60.52,68.71,57.99,6.8
07-98,8.3,5.051363636,73.74391139,6.9,60.85,68.54,57.95,6.9
08-98,8.1,5.3055,73.82398078,7.08,60.43,68.29,58,6.8
09-98,8.2,5.60047619,73.5837726,7.32,59.97,67.93,57.96,6.4
10-98,8,5.275238095,73.82398078,6.73,59.67,67.58,58.07,6.2
11-98,8,5.147,73.98411957,6.94,59.83,67.35,58.02,6.3
12-98,8.1,5.002857143,73.74391139,6.69,60.04,66.89,58.41,5.8
01-99,7.9,5.0045,73.90405018,6.79,60.13,66.6,58.49,6.3
02-99,7.9,5.0335,73.90405018,6.79,60.07,66.51,58.7,6.2
03-99,7.9,5.057391304,74.46453593,7.03,60,66.66,58.75,5.9
04-99,8.2,4.716666667,74.70474411,6.71,60.21,67.01,59.19,5.1
05-99,7.9,4.6155,74.78481351,6.99,60.32,67.06,59.55,4.9
06-99,7.6,4.815454545,74.94495229,7.35,60.66,67.19,59.77,4.8
07-99,7.6,4.792857143,75.10509108,7.42,60.45,67.26,60.07,4.8
08-99,7.4,4.924761905,75.10509108,7.8,60.58,67.37,60.29,4.7
09-99,7.5,4.83047619,75.34529926,7.67,60.75,67.44,60.35,4.2
10-99,7.2,5.014,75.50543805,7.9,60.76,67.55,60.49,4.5
11-99,6.9,5.040952381,75.34529926,8.13,60.67,67.59,60.74,4.8
12-99,6.8,5.135238095,75.26522987,8.13,60.46,67.71,60.94,4.3
01-00,6.8,5.2605,75.26522987,8.34,60.64,67.7,60.98,5.4
02-00,6.9,5.312380952,75.82571562,8.43,61.03,67.7,60.97,4.8
03-00,6.9,5.405652174,76.14599319,8.24,60.91,67.8,61.29,4.5
04-00,6.7,5.516315789,75.90578501,8.23,61,67.98,61.67,5
05-00,6.6,5.861818182,76.30613198,8.5,60.84,68.35,62.21,4.9
06-00,6.7,5.917272727,77.02675652,8.34,61.47,68.7,62.8,4.9
07-00,6.8,5.8785,77.02675652,8.18,61.65,68.81,63.4,5.2
08-00,7,5.892727273,76.94668713,8.08,61.91,68.73,63.67,5.2
09-00,6.9,5.8515,77.18689531,8.08,61.83,68.33,63.82,4.5
10-00,7,5.844761905,77.2669647,8.08,61.59,68.09,63.81,4.6
